Sr. No.,Question,Option A,Option B,Option C,Option D,Answer,Explanation,Topic,Difficulty Level
185,"Median of first 5 prime numbers?","3","5","7","9","B","Primes: 2,3,5,7,11 ⇒ median=5","Probability & Statistics","Medium"
186,"Case: Customer threatens to leave due to poor service. Best action?","Apologize and resolve","Let them leave","Blame staff","Offer discount","A","Customer retention through problem-solving","Analytical Reasoning","Medium"
187,"Server crashes every Friday at 3PM. Likely cause?","Scheduled maintenance","Hacker attack","User overload","All possible","D","Pattern suggests multiple possible causes","Analytical Reasoning","Hard"
188,"Two team members arguing during meeting. Best action?","Take sides","Facilitate discussion","Punish both","Ignore","B","Professional conflict resolution approach","Analytical Reasoning","Medium"
189,"Critical data loss discovered. First step?","Attempt recovery","Inform management","Hide issue","Blame IT","B","Proper escalation protocol","Analytical Reasoning","Hard"
190,"Inventory shows 15% more stock than system. First action?","Adjust system","Investigate discrepancy","Ignore","Celebrate","B","Root cause analysis before correction","Analytical Reasoning","Hard"
191,"If 10th May is Tuesday, what is 31st May?","Monday","Tuesday","Wednesday","Thursday","B","21 days later (3 weeks exactly)","General Mental Ability","Medium"
192,"A is B's mother. C is B's sister. D is C's husband. How is D related to A?","Son-in-law","Brother-in-law","Father","Uncle","A","D is husband of A's daughter","General Mental Ability","Hard"
193,"4:15 AM in 24-hour format?","04:15","16:15","14:15","24:15","A","AM times don't add 12 hours","General Mental Ability","Easy"
194,"If North becomes West, what does Southeast become?","Northeast","Northwest","Southwest","Southeast","B","90° counter-clockwise rotation","General Mental Ability","Hard"
195,"X < Y, Y = Z, Z > W. Which is smallest?","X","Y","Z","W","D","From given relations: W < Z = Y > X","General Mental Ability","Medium"
196,"You discover coworker stealing data. You should:","Join them","Report to security","Ignore","Blackmail","B","Ethical obligation to protect company data","Situational Judgment Tests","Hard"
197,"Client offers bribe for contract. You should:","Accept","Refuse politely","Report","Negotiate higher","C","Professional and legal obligation","Situational Judgment Tests","Hard"
198,"Manager takes credit for your idea. You should:","Confront angrily","Discuss professionally","Quit","Sabotage","B","Professional communication resolves issues","Situational Judgment Tests","Medium"
199,"You make error causing client loss. You should:","Hide it","Inform supervisor","Blame team","Delay reporting","B","Professional accountability","Situational Judgment Tests","Hard"
200,"Colleague shares passwords openly. You should:","Use them","Report to IT security","Share yours too","Ignore","B","Security best practices","Situational Judgment Tests","Medium"
201,"What is 22.22% of 450?","80","90","100","110","C","22.22% ≈ 2/9, 450 × 2/9 = 100","Quantitative Aptitude","Medium"
202,"If x³ - 8 = 0, what is x?","2","-2","±2","±4","A","x³ = 8 ⇒ x = 2","Quantitative Aptitude","Easy"
203,"Salary increased from ₹40,000 to ₹50,000. Percentage increase?","20%","25%","30%","35%","B","(50,000-40,000)/40,000 × 100 = 25%","Quantitative Aptitude","Medium"
204,"What is GCD of 48 and 72?","12","16","24","36","C","Factors of 48:1,2,3,4,6,8,12,16,24,48; 72:1,2,3,4,6,8,9,12,18,24,36,72","Quantitative Aptitude","Medium"
205,"Bike travels 270km in 4.5 hours. Average speed in km/h?","50","55","60","65","C","270/4.5 = 60 km/h","Quantitative Aptitude","Medium"
206,"Complete series: 1, 3, 7, 15, 31, __","47","53","63","65","C","Pattern: ×2+1 (31×2+1=63)","Logical Reasoning","Medium"
207,"Find odd one: 8, 27, 64, 100, 125, 216","8","27","100","125","C","All others are perfect cubes (100 is square)","Logical Reasoning","Medium"
208,"If all As are Bs and some Bs are Cs, then:","All As are Cs","Some As are Cs","No As are Cs","Cannot determine","B","Through the common Bs","Logical Reasoning","Hard"
209,"Complete analogy: Cube : Square :: Sphere : ?","Circle","Line","Point","Triangle","A","Square is to cube as circle is to sphere","Logical Reasoning","Easy"
210,"Find next: Z, W, T, Q, __","N","O","P","Q","A","Skip 2 letters backward in alphabet","Logical Reasoning","Easy"
211,"Table shows: Product A=20%, B=30%, C=50%. If total sales=500, value of B?","100","150","200","250","B","30% of 500 = 150","Data Interpretation","Easy"
212,"Pie chart shows 72° sector=₹60,000. Total value?","₹200,000","₹300,000","₹400,000","₹500,000","B","72°/360°=1/5 ⇒ Total=5×60,000=300,000","Data Interpretation","Medium"
213,"Line graph shows: 2020=50, 2021=60, 2022=72. Projected 2023?","80","84","86.4","90","C","Consistent 20% growth: 72×1.2=86.4","Data Interpretation","Hard"
214,"Bar graph: X=3cm (₹90), Y=5cm, what is Y's value?","₹120","₹150","₹180","₹210","B","Scale: 3cm=₹90 ⇒ 1cm=₹30 ⇒ 5cm=₹150","Data Interpretation","Medium"
215,"Histogram class 50-60 has height 7. If scale is 1cm=5 units, frequency?","30","35","40","45","B","Height in cm × scale = 7 × 5 = 35","Data Interpretation","Hard"
216,"Correct spelling:","Occurrence","Occurence","Ocurrence","Ocurrency","A","Double 'c', double 'r'","Verbal Ability","Easy"
217,"Antonym of 'MAGNANIMOUS'","Generous","Petty","Kind","Brave","B","Magnanimous means generous, antonym is petty","Verbal Ability","Medium"
218,"Correct sentence:","Each of the students are here","Each of the students is here","Each students are here","Each student are here","B","'Each' is singular","Verbal Ability","Medium"
219,"Meaning of 'LOQUACIOUS'","Quiet","Talkative","Angry","Sleepy","B","Loquacious means very talkative","Verbal Ability","Medium"
220,"Fill blank: It's ___ honor to meet you.","a","an","the","none","B","'Honor' starts with silent 'h' (vowel sound)","Verbal Ability","Medium"
221,"If 4 builders build 4 houses in 4 months, how many builders for 16 houses in 16 months?","4","8","12","16","A","Same 4 builders (each builds 1 house in 4 months)","Puzzles & Brain Teasers","Medium"
222,"What is next: 2, 3, 5, 7, 11, __?","13","15","17","19","A","Sequence of prime numbers","Puzzles & Brain Teasers","Easy"
223,"Mother is 3 times daughter's age. In 15 years, she'll be twice as old. Daughter's current age?","10","12","15","18","C","Let daughter=x, mother=3x ⇒ 3x+15=2(x+15) ⇒ x=15","Puzzles & Brain Teasers","Hard"
224,"If 6 printers print 6 books in 6 minutes, 60 printers in 60 minutes?","60","120","360","600","A","Same logic: each printer produces 1 book in 6 minutes","Puzzles & Brain Teasers","Hard"
225,"Which is correct: 'The team are happy' or 'The team is happy'?","First","Second","Both","Neither","C","In British English both are acceptable (collective nouns)","Puzzles & Brain Teasers","Medium"
226,"Identify missing pattern: [★, ☆, ★, ★, ☆, __]","★","☆","◆","◈","A","Pattern: ★, ☆, ★, ★, ☆, ★","Abstract Reasoning","Medium"
227,"Which doesn't belong: ♪, ♫, ♬, ✎","♪","♫","♬","✎","D","Only pencil isn't musical note","Abstract Reasoning","Easy"
228,"Complete analogy: 🔔 : Sound :: 👃 : ?","Smell","Nose","Face","Breath","A","Bell produces sound as nose detects smell","Abstract Reasoning","Easy"
229,"Identify next figure: [◐, ◓, ◑, ◒, __]","◐","◓","◑","◒","A","Sequence completes clockwise rotation of semicircles","Abstract Reasoning","Hard"
230,"Find odd pattern: ▷, ▶, ▻, ✂","▷","▶","▻","✂","D","Only scissor isn't directional arrow","Abstract Reasoning","Easy"
231,"Probability of drawing face card from deck?","1/13","3/13","4/13","1/4","B","12 face cards in 52-card deck = 12/52=3/13","Probability & Statistics","Easy"
232,"In normal distribution, what % within ±1.5σ?","68%","86.64%","95%","99.7%","B","Approximately 86.64% within ±1.5 standard deviations","Probability & Statistics","Hard"
233,"Standard deviation of 2,4,6,8,10?","2","2.5","2.83","3","C","Mean=6, Variance=8, SD=√8≈2.83","Probability & Statistics","Hard"
234,"If P(A)=0.4, P(B)=0.5, independent, P(A∩B)=?","0.1","0.2","0.4","0.9","B","P(A∩B)=P(A)×P(B)=0.4×0.5=0.2","Probability & Statistics","Medium"
235,"Mode of 3,5,7,5,2,5,3?","2","3","5","7","C","5 appears most frequently (3 times)","Probability & Statistics","Easy"
236,"Case: Angry customer demands refund without receipt. Best action?","Refuse","Check purchase history","Call manager","Give partial refund","B","Professional problem-solving approach","Analytical Reasoning","Medium"
237,"System outage during peak hours. First step?","Reboot server","Identify cause","Inform users","All above","D","Comprehensive crisis management needed","Analytical Reasoning","Hard"
238,"Two departments blame each other for delay. Best action?","Facilitate joint meeting","Take sides","Escalate to CEO","Ignore","A","Collaborative problem-solving approach","Analytical Reasoning","Medium"
239,"Data breach discovered. First step?","Contain breach","Investigate","Notify authorities","All above","D","Comprehensive response required","Analytical Reasoning","Hard"
240,"Monthly sales dropped 20% suddenly. First action?","Analyze trends","Fire sales team","Increase ads","Do nothing","A","Data-driven decision making","Analytical Reasoning","Hard"
241,"If 15th August is Tuesday, what is 1st September?","Monday","Tuesday","Wednesday","Thursday","A","17 days later (2 weeks + 3 days)","General Mental Ability","Medium"
242,"A is B's brother. C is A's mother. D is C's father. How is D related to B?","Grandfather","Father","Uncle","Brother","A","D is father of B's mother","General Mental Ability","Hard"
243,"6:30 PM in 24-hour format?","06:30","18:30","19:30","20:30","B","PM times add 12 hours","General Mental Ability","Easy"
244,"If East becomes South, what does Northwest become?","Northeast","Southeast","Southwest","Northwest","C","90° clockwise rotation","General Mental Ability","Hard"
245,"X > Y, Y < Z, W > X. Which is greatest?","X","Y","Z","W","D","From W > X > Y and Z > Y","General Mental Ability","Medium"
246,"You find security vulnerability in company software. You should:","Exploit it","Report immediately","Tell colleagues","Ignore","B","Ethical responsibility to report","Situational Judgment Tests","Hard"
247,"Client offers expensive gift for favor. You should:","Accept","Decline politely","Report to compliance","Negotiate cash","C","Professional and ethical obligation","Situational Judgment Tests","Hard"
248,"Manager publicly criticizes your mistake. You should:","Argue back","Discuss privately later","Quit","Complain to HR","B","Professional conflict resolution","Situational Judgment Tests","Medium"
249,"You accidentally send wrong data to client. You should:","Hope they don't notice","Send correction immediately","Blame team","Delay response","B","Professional accountability","Situational Judgment Tests","Hard"
250,"Colleague consistently misses deadlines affecting you. You should:","Complain to boss","Discuss professionally","Do their work","Sabotage them","B","Constructive problem-solving approach","Situational Judgment Tests","Medium"
251,"What is 16.67% of 600?","80","100","120","150","B","16.67% ≈ 1/6, 600 × 1/6 = 100","Quantitative Aptitude","Medium"
252,"If x² + 5x + 6 = 0, what are possible values of x?","2,3","-2,-3","1,6","-1,-6","B","Factors to (x+2)(x+3)=0 ⇒ x=-2,-3","Quantitative Aptitude","Medium"
253,"Price decreased from ₹800 to ₹600. Percentage decrease?","20%","25%","30%","35%","B","(800-600)/800 × 100 = 25%","Quantitative Aptitude","Medium"
254,"What is HCF of 36, 54 and 72?","6","9","12","18","D","Factors: 36(1,2,3,4,6,9,12,18,36), 54(1,2,3,6,9,18,27,54), 72(1,2,3,4,6,8,9,12,18,24,36,72)","Quantitative Aptitude","Medium"
255,"Bus covers 300km in 5 hours. Speed in m/s?","13.89","15","16.67","18","C","300km/5h=60km/h=60×1000/3600≈16.67m/s","Quantitative Aptitude","Hard"
256,"Complete series: 1, 1, 2, 3, 5, 8, __","11","12","13","14","C","Fibonacci sequence (sum of previous two)","Logical Reasoning","Easy"
257,"Find odd one: 31, 41, 51, 61, 71","31","41","51","61","C","All others are prime numbers (51=3×17)","Logical Reasoning","Medium"
258,"If no As are Bs and all Bs are Cs, then:","No As are Cs","Some As are Cs","Some Cs are not As","Cannot determine","C","All Bs are Cs, and no As are Bs ⇒ some Cs (Bs) are not As","Logical Reasoning","Hard"
259,"Complete analogy: Rectangle : Cylinder :: Square : ?","Cube","Circle","Sphere","Pyramid","A","2D to 3D analogy","Logical Reasoning","Medium"
260,"Find next: J, A, S, O, N, __","D","F","H","J","A","Sequence of month initials (June, April, September, etc.)","Logical Reasoning","Hard"
261,"Table shows: Region A=15%, B=25%, C=60%. If total=800, value of A?","100","120","150","160","B","15% of 800 = 120","Data Interpretation","Easy"
262,"Pie chart shows 120° sector=₹90,000. Total value?","₹200,000","₹270,000","₹300,000","₹360,000","B","120°/360°=1/3 ⇒ Total=3×90,000=270,000","Data Interpretation","Medium"
263,"Line graph shows: 2019=80, 2020=100, 2021=125. Projected 2022?","140","150","156.25","160","C","Consistent 25% growth: 125×1.25=156.25","Data Interpretation","Hard"
264,"Bar graph: P=5cm (₹150), Q=7cm, what is Q's value?","₹180","₹210","₹240","₹270","B","Scale: 5cm=₹150 ⇒ 1cm=₹30 ⇒ 7cm=₹210","Data Interpretation","Medium"
265,"Histogram class 20-30 has height 8. If scale is 1cm=5 units, frequency?","35","40","45","50","B","Height in cm × scale = 8 × 5 = 40","Data Interpretation","Hard"
266,"Correct spelling:","Priviledge","Privilege","Privelege","Privilage","B","Correct spelling has 'i' after 'v' and 'e' at end","Verbal Ability","Easy"
267,"Antonym of 'VORACIOUS'","Hungry","Small","Moderate","Full","C","Voracious means excessive, antonym is moderate","Verbal Ability","Medium"
268,"Correct sentence:","The data suggests","The data suggest","The datas suggests","The datas suggest","B","'Data' is plural (singular is 'datum')","Verbal Ability","Hard"
269,"Meaning of 'GARRULOUS'","Quiet","Talkative","Angry","Sleepy","B","Garrulous means excessively talkative","Verbal Ability","Medium"
270,"Fill blank: It's ___ useful tool.","a","an","the","none","A","'Useful' starts with consonant sound (yoo)","Verbal Ability","Medium"
271,"If 5 tailors make 5 shirts in 5 days, how many tailors for 20 shirts in 20 days?","5","10","15","20","A","Same 5 tailors (each makes 1 shirt in 5 days)","Puzzles & Brain Teasers","Medium"
272,"What is next: 1, 4, 10, 19, 31, __?","46","50","55","60","A","Differences increase by 3 each time: +3,+6,+9,+12,+15","Puzzles & Brain Teasers","Hard"
273,"Mother is 4 times daughter's age. In 20 years, she'll be twice as old. Daughter's current age?","8","10","12","15","B","Let daughter=x, mother=4x ⇒ 4x+20=2(x+20) ⇒ x=10","Puzzles & Brain Teasers","Hard"
274,"If 7 workers build 7 walls in 7 hours, how many workers for 49 walls in 49 hours?","7","14","21","49","A","Same 7 workers (each builds 1 wall in 7 hours)","Puzzles & Brain Teasers","Hard"
275,"Which is correct: 'A pair of scissors are' or 'A pair of scissors is'?","First","Second","Both","Neither","B","'Pair' is singular collective noun","Puzzles & Brain Teasers","Medium"
276,"Identify missing pattern: [◈, ◆, ◈, ◈, ◆, __]","◈","◆","◉","◎","A","Pattern: ◈, ◆, ◈, ◈, ◆, ◈","Abstract Reasoning","Medium"
277,"Which doesn't belong: ♠, ♣, ♥, ⚡","♠","♣","♥","⚡","D","Only lightning bolt isn't playing card suit","Abstract Reasoning","Easy"
278,"Complete analogy: 🕒 : Time :: 🌡 : ?","Temperature","Heat","Weather","Cold","A","Clock shows time as thermometer shows temperature","Abstract Reasoning","Easy"
279,"Identify next figure: [◢, ◣, ◤, ◥, __]","◢","◣","◤","◥","A","Sequence completes rotation cycle","Abstract Reasoning","Hard"
280,"Find odd pattern: ↑, →, ↓, ↔","↑","→","↓","↔","D","Only double-headed arrow","Abstract Reasoning","Medium"
281,"Probability of rolling even number on die?","1/6","1/3","1/2","2/3","C","3 even numbers (2,4,6) out of 6","Probability & Statistics","Easy"
282,"In normal distribution, what % is above mean +1σ?","16%","34%","68%","84%","A","68% within ±1σ ⇒ 32% outside ⇒ 16% above +1σ","Probability & Statistics","Hard"
283,"Mean of first 10 even numbers?","10","11","12","13","B","Numbers: 2,4,6,8,10,12,14,16,18,20; Sum=110/10=11","Probability & Statistics","Medium"
284,"If P(A)=0.2, P(B)=0.5, P(A∪B)=0.6, P(A∩B)=?","0.1","0.2","0.3","0.4","A","P(A∪B)=P(A)+P(B)-P(A∩B) ⇒ 0.6=0.2+0.5-x ⇒ x=0.1","Probability & Statistics","Hard"
285,"Mode of 4,7,4,8,9,7,4,3?","3","4","7","8","B","4 appears most frequently (3 times)","Probability & Statistics","Easy"
286,"Case: Customer wants return without packaging. Policy says no. Best action?","Refuse firmly","Make exception","Check supervisor","Ask for bribe","C","Professional escalation path","Analytical Reasoning","Medium"
287,"Server crashes randomly. Logs show memory spikes. Best action?","Add more RAM","Check for memory leaks","Restart daily","Ignore","B","Memory leaks are common cause","Analytical Reasoning","Hard"
288,"Two teams dispute project ownership. Best approach?","Facilitate collaboration","Let managers fight","Choose side","Delay project","A","Professional conflict resolution","Analytical Reasoning","Medium"
289,"Security breach detected. First step?","Contain breach","Investigate","Notify management","All above","D","Comprehensive incident response","Analytical Reasoning","Hard"
290,"Sales drop in specific region. First action?","Analyze regional factors","Fire team","Increase ads","Ignore","A","Data-driven decision making","Analytical Reasoning","Hard"
291,"If 1st October is Sunday, what is 15th October?","Sunday","Monday","Tuesday","Wednesday","A","14 days later (same day of week)","General Mental Ability","Easy"
292,"A is B's father. C is B's sister. D is A's father. How is D related to C?","Grandfather","Father","Uncle","Brother","A","D is father of C's father","General Mental Ability","Hard"
293,"11:45 AM in 24-hour format?","00:45","11:45","12:45","23:45","B","AM times don't add 12 hours","General Mental Ability","Easy"
294,"If North becomes East, what does Southwest become?","Northwest","Southeast","Northeast","Southwest","A","90° clockwise rotation","General Mental Ability","Hard"
295,"X < Y, Y = Z, Z > W. Which is smallest?","W","X","Y","Z","A","From given relations: W < Z = Y > X","General Mental Ability","Medium"
296,"You discover colleague falsifying reports. You should:","Ignore","Confront directly","Report properly","Join them","C","Ethical obligation to report misconduct","Situational Judgment Tests","Hard"
297,"Client offers job while you're employed. You should:","Accept immediately","Decline","Review contract","Blackmail employer","C","Professional consideration of contracts","Situational Judgment Tests","Hard"
298,"Manager gives impossible deadline. You should:","Work overtime","Discuss realistically","Refuse","Quit","B","Professional communication","Situational Judgment Tests","Medium"
299,"You accidentally see colleague's salary is higher. You should:","Demand raise","Confront manager","Discuss professionally","Sabotage","C","Professional approach to sensitive matters","Situational Judgment Tests","Hard"
300,"Team member shares confidential data. You should:","Share further","Report to security","Ignore","Use personally","B","Ethical obligation to protect data","Situational Judgment Tests","Hard"
301,"What is 33.33% of 900?","250","300","350","400","B","33.33% ≈ 1/3, 900 × 1/3 = 300","Quantitative Aptitude","Easy"
302,"If 2x² - 8 = 0, what are possible values of x?","2 only","-2 only","±2","±4","C","2x²=8 ⇒ x²=4 ⇒ x=±2","Quantitative Aptitude","Medium"
303,"Price increased from ₹500 to ₹650. Percentage increase?","25%","30%","35%","40%","B","(650-500)/500 × 100 = 30%","Quantitative Aptitude","Medium"
304,"What is LCM of 12, 15 and 20?","30","40","50","60","D","Prime factors: 12=2²×3, 15=3×5, 20=2²×5 ⇒ LCM=2²×3×5=60","Quantitative Aptitude","Medium"
305,"Car travels 400km using 25 liters petrol. Mileage in km/l?","12","14","16","18","C","400/25 = 16 km/l","Quantitative Aptitude","Easy"
306,"Complete series: 1, 4, 9, 16, 25, __","36","49","64","81","A","Sequence of perfect squares (1², 2², 3²,...)","Logical Reasoning","Easy"
307,"Find odd one: 17, 23, 29, 31, 37, 39","17","23","31","39","D","All others are prime numbers (39=3×13)","Logical Reasoning","Medium"
308,"If some As are Bs and all Bs are Cs, then:","All As are Cs","Some As are Cs","No As are Cs","Cannot determine","B","All Bs are Cs ⇒ those As that are Bs must be Cs","Logical Reasoning","Hard"
309,"Complete analogy: Minute : Hour :: Centimetre : ?","Millimeter","Metre","Kilometer","Inch","B","Smaller to larger unit relationship","Logical Reasoning","Easy"
310,"Find next: A, C, E, G, __","H","I","J","K","B","Skip one letter in alphabet (A,B,C,D,E,F,G,H,I)","Logical Reasoning","Easy"
311,"Table shows: Product X=25%, Y=35%, Z=40%. If total=600, value of Y?","150","210","240","300","B","35% of 600 = 210","Data Interpretation","Easy"
312,"Pie chart shows 54° sector=₹45,000. Total value?","₹200,000","₹300,000","₹400,000","₹500,000","B","54°/360°=0.15 ⇒ Total=45,000/0.15=300,000","Data Interpretation","Medium"
313,"Line graph shows: 2019=200, 2020=250, 2021=312.5. Projected 2022?","375","390.625","400","425","B","Consistent 25% growth: 312.5×1.25=390.625","Data Interpretation","Hard"
314,"Bar graph: M=6cm (₹240), N=9cm, what is N's value?","₹300","₹360","₹420","₹480","B","Scale: 6cm=₹240 ⇒ 1cm=₹40 ⇒ 9cm=₹360","Data Interpretation","Medium"
315,"Histogram class 15-20 has height 5. If scale is 1cm=2 units, frequency?","8","10","12","15","B","Height in cm × scale = 5 × 2 = 10","Data Interpretation","Hard"
316,"Correct spelling:","Accommodate","Acommodate","Accomodate","Acomodate","A","Double 'm' and double 'd'","Verbal Ability","Easy"
317,"Synonym of 'EBULLIENT'","Gloomy","Cheerful","Angry","Sleepy","B","Ebullient means cheerful and full of energy","Verbal Ability","Medium"
318,"Correct sentence:","The committee are divided","The committee is divided","The committee were divided","The committee be divided","B","Collective noun 'committee' takes singular verb","Verbal Ability","Medium"
319,"Meaning of 'PERNICIOUS'","Harmful","Helpful","Permanent","Temporary","A","Pernicious means having harmful effect","Verbal Ability","Hard"
320,"Fill blank: She is ___ MBA graduate.","a","an","the","none","B","'MBA' starts with vowel sound (em)","Verbal Ability","Medium"
321,"If 3 chefs prepare 3 dishes in 30 minutes, how many chefs for 30 dishes in 30 minutes?","3","10","30","100","C","Each chef makes 1 dish in 30 minutes ⇒ need 30 chefs","Puzzles & Brain Teasers","Medium"
322,"What is next: 1, 3, 6, 10, 15, __?","19","20","21","22","C","Triangular numbers: +2,+3,+4,+5,+6 (15+6=21)","Puzzles & Brain Teasers","Medium"
323,"Father is 5 times son's age. In 5 years, he'll be 3 times as old. Son's current age?","3","5","7","10","B","Let son=x, father=5x ⇒ 5x+5=3(x+5) ⇒ x=5","Puzzles & Brain Teasers","Hard"
324,"If 10 machines produce 10 items in 10 minutes, how many machines for 50 items in 50 minutes?","5","10","25","50","B","Same 10 machines (each produces 1 item in 10 minutes)","Puzzles & Brain Teasers","Hard"
325,"Which is correct: 'The staff are' or 'The staff is'?","First","Second","Both","Neither","C","In British English both are acceptable (collective nouns)","Puzzles & Brain Teasers","Medium"
326,"Identify missing pattern: [♣, ♠, ♥, ♦, __]","♣","♠","♥","♦","A","Sequence of playing card suits repeating","Abstract Reasoning","Easy"
327,"Which doesn't belong: ▭, ▯, △, ⚪","▭","▯","△","⚪","D","Only circle isn't polygon","Abstract Reasoning","Easy"
328,"Complete analogy: 🌧 : Umbrella :: ❄ : ?","Jacket","Sunglasses","Scarf","Gloves","D","Rain needs umbrella as snow needs gloves","Abstract Reasoning","Medium"
329,"Identify next figure: [◢, ◣, ◤, ◥, __]","◢","◣","◤","◥","A","Sequence completes rotation cycle","Abstract Reasoning","Hard"
330,"Find odd pattern: ↑, →, ↓, ↔","↑","→","↓","↔","D","Only double-headed arrow","Abstract Reasoning","Medium"
331,"Probability of drawing club from deck?","1/4","1/2","1/13","4/13","A","13 clubs in 52-card deck = 13/52=1/4","Probability & Statistics","Easy"
332,"In normal distribution, what % within ±2.5σ?","68%","95%","98.76%","99.7%","C","Approximately 98.76% within ±2.5 standard deviations","Probability & Statistics","Hard"
333,"Range of 5, 10, 15, 20, 25?","15","20","25","30","B","Range = Max - Min = 25 - 5 = 20","Probability & Statistics","Easy"
334,"If P(A)=0.3, P(B)=0.6, independent, P(A∪B)=?","0.18","0.72","0.9","1.0","B","P(A∪B)=P(A)+P(B)-P(A∩B)=0.3+0.6-(0.3×0.6)=0.72","Probability & Statistics","Hard"
335,"Mean of first 5 prime numbers?","5.6","6","7.2","8","A","Primes: 2,3,5,7,11; Sum=28/5=5.6","Probability & Statistics","Medium"
336,"Case: Customer wants discount beyond policy. Best action?","Refuse","Make exception","Check supervisor","Ask for bribe","C","Professional escalation path","Analytical Reasoning","Medium"
337,"Database performance slowed after update. First step?","Rollback update","Check logs","Reboot server","All above","D","Comprehensive troubleshooting needed","Analytical Reasoning","Hard"
338,"Two teams dispute credit for project. Best approach?","Facilitate discussion","Take sides","Escalate immediately","Ignore","A","Professional conflict resolution","Analytical Reasoning","Medium"
339,"Security vulnerability discovered. First step?","Exploit it","Report immediately","Tell colleagues","Ignore","B","Ethical obligation to report","Analytical Reasoning","Hard"
340,"Sales increased suddenly in one region. First action?","Analyze causes","Celebrate","Fire other regions","Ignore","A","Data-driven investigation","Analytical Reasoning","Hard"
341,"If 5th November is Monday, what is 19th November?","Monday","Tuesday","Wednesday","Thursday","A","14 days later (same day of week)","General Mental Ability","Easy"
342,"A is B's mother. C is B's sister. D is C's son. How is D related to A?","Grandson","Son","Nephew","Brother","A","D is son of A's daughter","General Mental Ability","Hard"
343,"8:15 PM in 24-hour format?","08:15","18:15","20:15","22:15","C","PM times add 12 hours","General Mental Ability","Easy"
344,"If East becomes North, what does Southwest become?","Northwest","Southeast","Northeast","Southwest","B","90° counter-clockwise rotation","General Mental Ability","Hard"
345,"X > Y, Y < Z, W > X. Which is smallest?","X","Y","Z","W","B","From given relations: Y is less than X and Z","General Mental Ability","Medium"
346,"You witness coworker stealing office supplies. You should:","Join them","Report to manager","Ignore","Blackmail","B","Ethical obligation to report","Situational Judgment Tests","Hard"
347,"Client offers expensive gift for favor. You should:","Accept","Decline politely","Report","Negotiate cash","C","Professional and ethical obligation","Situational Judgment Tests","Hard"
348,"Manager publicly criticizes your work. You should:","Argue back","Discuss privately later","Quit","Complain to HR","B","Professional conflict resolution","Situational Judgment Tests","Medium"
349,"You make error affecting client data. You should:","Hide it","Report immediately","Blame team","Delay response","B","Professional accountability","Situational Judgment Tests","Hard"
350,"Colleague shares confidential client information. You should:","Share further","Report to security","Ignore","Use personally","B","Ethical obligation to protect data","Situational Judgment Tests","Hard"



